grouping,class,n,eci_2000_median,eci_2025_median,difference_of_endpoint_medians,median_paired_eci_change,eci_sen_slope_median,positive_eci_slope_fraction,regain_2025_median
trajectory_class,gradual_recovery,9734,0.48930928171477106,0.7027154489224763,0.21340616720770522,0.19287114277978584,0.011034709485543208,0.9998972673104581,0.7737771336002699
trajectory_class,persistent_decline,1215,0.3613113408846213,0.067419459731037,-0.29389188115358433,-0.19013508811795482,-0.003196953015186475,0.13662551440329218,0.1620465132789426
trajectory_class,rebound_after_early_decline,6915,0.7441109226503183,0.8577403969722114,0.11362947432189308,0.10441624126242854,0.0064249482296865916,0.9428778018799711,0.8823710629156901
trajectory_class,sustained_recovery,14488,0.5513824380629495,0.7501233266487319,0.19874088858578243,0.17958330648595644,0.011096134256926429,1.0,0.7952408279610221
trajectory_class,temporary_recovery_with_late_setback,5921,0.4822850210374874,0.4709626156990359,-0.011322405338451469,-0.011019174942254628,0.0034151042348167992,0.808816078365141,0.4970727780366517
management_context,advancing_recovery,11451,0.4871973581076494,0.5932531407072812,0.10605578259963178,0.10844237431047421,0.009206126760428857,1.0,0.6351887554632817
management_context,consolidated_recovery,18702,0.5982791015575574,0.8314122109847467,0.23313310942718934,0.21284874989115926,0.011155082013158388,1.0,0.8817342926100897
management_context,high_state_monitoring,1845,0.7021282573868519,0.7843104530545736,0.08218219566772167,0.0811893381789125,0.0030571782473645067,0.8574525745257453,0.8670636146117511
management_context,renewed_decline,730,0.4040215764920876,0.05088606664083355,-0.353135509851254,-0.25438802629652824,-0.007370557944013551,0.0,0.0803228802185185
management_context,stalled_recovery,5545,0.5117862893773679,0.4343194521058334,-0.07746683727153453,-0.0616195547202471,0.002017164994944068,0.7143372407574391,0.4433943144058334
management_context_modified_MK,advancing_recovery,10612,0.4848519545901203,0.5940617607045511,0.10920980611443076,0.11163222147254634,0.00931236970788235,1.0,0.638245703760091
management_context_modified_MK,consolidated_recovery,17602,0.5905026312494954,0.8285583216427979,0.23805569039330243,0.21794914709605645,0.011371415915945404,1.0,0.8805814003450891
management_context_modified_MK,high_state_monitoring,2931,0.7116592028840629,0.8198950303482055,0.10823582746414262,0.10326782649098709,0.004659485960286634,0.9068577277379734,0.878159904777995
management_context_modified_MK,renewed_decline,562,0.381275703979314,0.036660805774888505,-0.3446148982044255,-0.26456557071809716,-0.007062778644023679,0.0,0.04444628875532455
management_context_modified_MK,stalled_recovery,6509,0.5126704452430111,0.4567895412033323,-0.05588090403967877,-0.04796907237884995,0.002501659615629337,0.7326778306959595,0.4594269573285198
management_context_modified_MK,unevaluable_variance,57,0.4966564419147258,0.5807564012520847,0.08409995933735892,0.09909510825508594,0.008024570883948009,0.9649122807017544,0.697515161316774
