year,measurement,n,mean,q25,median,q75,fraction_zero
2000,L5_clear_obs,38281,8.44217367447642,6.296656511707943,8.017395404554676,10.142677719166038,0.0004179619132206578
2000,L7_clear_obs,38281,7.682482663454527,5.778573229140408,7.331133916766352,8.988424159161452,0.0
2000,L8_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2000,L9_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2000,mixed_clear_months,38281,8.247566097303412,7.381695406683965,8.789751517665248,9.38069042798386,0.0
2000,L7_clear_months,38281,6.378089533820442,5.375461842272902,6.814975444862553,7.810054805270418,0.0
2000,L7_valid_fraction,38281,0.9999992637360084,1.0,1.0,1.0,0.0
2001,L5_clear_obs,38281,8.312311227878334,6.002132465205489,7.202541001363529,10.359234076209674,0.0
2001,L7_clear_obs,38281,9.924699861904498,6.928394150364647,8.00784764826176,13.235334748906329,0.0
2001,L8_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2001,L9_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2001,mixed_clear_months,38281,9.669286371643796,8.945157139763307,9.769754594979885,10.532805903160783,0.0
2001,L7_clear_months,38281,7.231274829279179,6.0,6.972272414933959,8.022076394947465,0.0
2001,L7_valid_fraction,38281,0.9999998308394947,1.0,1.0,1.0,0.0
2002,L5_clear_obs,38281,5.511380686930432,3.149584102343692,4.982082895120313,7.140732799394583,0.0
2002,L7_clear_obs,38281,6.695186752129014,4.303118524262957,5.870992873381186,8.39791939233046,7.836785872887333e-05
2002,L8_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2002,L9_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2002,mixed_clear_months,38281,8.129031317992276,6.910105772906848,7.950366151342554,9.167495287613695,0.0
2002,L7_clear_months,38281,5.546759803626775,4.0,5.136649368202275,6.79257119588731,7.836785872887333e-05
2002,L7_valid_fraction,38281,0.9974748051636038,1.0,1.0,1.0,7.836785872887333e-05
2003,L5_clear_obs,38281,8.72720407885295,6.0,7.452455830840423,11.409709157471909,0.0
2003,L7_clear_obs,38281,8.867573917031958,6.583167610014786,8.220712379152243,9.953712717939633,0.0
2003,L8_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2003,L9_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2003,mixed_clear_months,38281,8.30848838107831,7.08168383340797,8.352098415430559,9.539074475227697,0.0
2003,L7_clear_months,38281,5.935093051441817,4.83347969404248,5.962014685110008,6.971931209185684,0.0
2003,L7_valid_fraction,38281,0.9999995786576386,1.0,1.0,1.0,0.0
2004,L5_clear_obs,38281,15.358022412102947,10.562478406080848,12.77729622871046,21.815283697899385,0.0
2004,L7_clear_obs,38281,11.368097375322531,8.541607702415845,10.637553697160726,12.992024485338003,0.0
2004,L8_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2004,L9_clear_obs,38281,0.0,0.0,0.0,0.0,1.0
2004,mixed_clear_months,38281,11.1046736630801,10.592419155327798,11.179104852588344,11.727609046644382,0.0
2004,L7_clear_months,38281,8.171299489648472,7.253691495957383,8.334143301396251,9.139384464085326,0.0
2004,L7_valid_fraction,38281,0.9999998310434615,1.0,1.0,1.0,0.0
2005,L5_clear_obs,38281,8.589043203672478,5.725568857728618,7.743559958130153,10.957496526462045,0.0
2005,L7_clear_obs,38281,5.614587843853236,4.00971351439997,5.140541498872934,6.713093151410445,0.0
